Price,Close,High,Low,Open,Volume,next_day_high_target,Next_Day_Close_Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-05-31,146.0453796,147.8312145,144.0829316,146.2710719,103718400,148.8909702,145.9178619
2022-06-01,145.9178619,148.8909702,144.9071872,147.0855062,74286600,148.4297664,148.3708954
2022-06-02,148.3708954,148.4297664,144.1025648,145.0543533,72348100,145.1917579,142.6503906
2022-06-03,142.6503906,145.1917579,141.7476661,144.1418408,88570300,145.7804855,143.3961029
2022-06-06,143.3961029,145.7804855,142.1793795,144.2693918,71598400,146.2024104,145.9178619
2022-06-07,145.9178619,146.2024104,141.3944176,141.6397237,67808200,147.0560418,145.1819153
2022-06-08,145.1819153,147.0560418,144.6913033,145.7902694,53950200,145.1721049,139.9618073
2022-06-09,139.9618073,145.1721049,139.853872,144.3184447,69473000,138.1170694,134.5552368
2022-06-10,134.5552368,138.1170694,134.486544,137.6460861,91437900,132.661511,129.4038544
2022-06-13,129.4038544,132.661511,128.9721133,130.3752568,122207100,131.3760761,130.2672882
2022-06-14,130.2672882,131.3760761,129.0113227,130.6303513,84784300,134.7613027,132.8871613
2022-06-15,132.8871613,134.7613027,129.6785695,131.7685665,91533000,129.9042733,127.6180191
2022-06-16,127.6180191,129.9042733,126.6171662,129.6000962,108123900,130.5813086,129.0898438
2022-06-17,129.0898438,130.5813086,127.3727015,127.6278294,134520300,134.4865523,133.3188934
2022-06-21,133.3188934,134.4865523,130.8167843,130.9148977,81000500,135.1734084,132.80867
2022-06-22,132.80867,135.1734084,131.3957051,132.259172,73409200,135.9878426,135.6738586
2022-06-23,135.6738586,135.9878426,133.0834277,134.2510867,72433800,139.2455197,139.0002136
2022-06-24,139.0002136,139.2455197,137.1457006,137.2732496,89116800,140.7958556,139.0002136
2022-06-27,139.0002136,140.7958556,138.3231666,140.0206801,70207900,140.7271676,134.8594513
2022-06-28,134.8594513,140.7271676,134.7417092,139.461395,67083400,138.0287792,136.6158142
2022-06-29,136.6158142,138.0287792,134.1038831,134.8790585,66242400,135.7719678,134.1529541
2022-06-30,134.1529541,135.7719678,131.2583461,134.6730017,98964500,136.4293769,136.3214417
2022-07-01,136.3214417,136.4293769,133.11285,133.4857049,71051600,138.9511486,138.9020844
2022-07-05,138.9020844,138.9511486,134.3590119,135.1832515,73353800,141.4140076,140.2365417
2022-07-06,140.2365417,141.4140076,138.4310931,138.6960277,74064300,143.79843,143.6021881
2022-07-07,143.6021881,143.79843,140.5898222,140.5996291,66253700,144.779624,144.2791901
2022-07-08,144.2791901,144.779624,142.2774994,142.5326123,64547800,143.8866728,142.1499023
2022-07-11,142.1499023,143.8866728,141.0803719,142.9348845,63141600,145.6627356,143.1213684
2022-07-12,143.1213684,145.6627356,142.3265792,143.02324,77588800,143.7002675,142.7583008
2022-07-13,142.7583008,143.7002675,139.4515654,140.3052405,71185600,146.1533412,145.6823578
2022-07-14,145.6823578,146.1533412,140.5603663,141.3747842,78140700,148.0274804,147.3504333
2022-07-15,147.3504333,148.0274804,145.4174205,146.9677565,76259900,148.7241324,144.3086243
2022-07-18,144.3086243,148.7241324,143.9455612,147.9097146,81420900,148.3904875,148.1648102
2022-07-19,148.1648102,148.3904875,144.151608,145.1426387,82982400,150.8337899,150.1665497
2022-07-20,150.1665497,150.8337899,147.5466828,148.282601,64823400,152.649037,152.4331665
2022-07-21,152.4331665,152.649037,149.0871888,151.59912,65086600,153.3457064,151.1968231
2022-07-22,151.1968231,153.3457064,150.5295979,152.4724175,66675400,152.1289867,150.0782318
2022-07-25,150.0782318,152.1289867,149.4208134,151.118327,53623900,150.2156002,148.7535858
2022-07-26,148.7535858,150.2156002,147.9686035,149.4011824,55138700,154.3759998,153.8461304
2022-07-27,153.8461304,154.3759998,149.3030727,149.715185,78620700,154.6801477,154.3955994
2022-07-28,154.3955994,154.6801477,151.5107985,154.0325363,81378700,160.5577369,159.4587555
